"region","sido.code","OBJECTID","SIGUNGU_CD","SIGUNGU_NM","sido_name","collect_count","collect_15amount","disposal_count","disposal_15amount","capacity","index"
"경상북도_영양군","37",213,"37340","영양군","경상북도",1,29955.32,5,46028,8087,-16072.68
"경상북도_영덕군","37",214,"37350","영덕군","경상북도",3,41782.6,11,93087,12343.1,-51304.4
"경상북도_청도군","37",215,"37360","청도군","경상북도",14,32043.73,7,11419,259,20624.73
"경상북도_고령군","37",216,"37370","고령군","경상북도",14,262742.77,83,1244443.96,319847.7,-981701.19
"경상북도_성주군","37",217,"37380","성주군","경상북도",9,81861.14,105,387063.59,437799.62,-305202.45
"경상북도_칠곡군","37",218,"37390","칠곡군","경상북도",35,1328849.18,112,905578.92,17666.57,423270.26
"경상북도_예천군","37",219,"37400","예천군","경상북도",7,218239.08,7,245537,24011,-27297.92
"경상북도_봉화군","37",220,"37410","봉화군","경상북도",5,37514.59,12,194871.4,20496,-157356.81
"경상북도_울진군","37",221,"37420","울진군","경상북도",8,33701.66,9,113862,8354,-80160.34
"경상북도_울릉군","37",222,"37430","울릉군","경상북도",0,0,2,17529,8000,-17529
"경상남도_진주시","38",223,"38030","진주시","경상남도",24,767326.27,25,412408.61,12736.44,354917.66
"경상남도_통영시","38",224,"38050","통영시","경상남도",25,149231.49,16,80787,55614.3,68444.49
"경상남도_사천시","38",225,"38060","사천시","경상남도",25,451835.13,25,435336.054,16726.5,16499.076
"경상남도_김해시","38",226,"38070","김해시","경상남도",94,1729498.14,264,2082609.939,54379.8,-353111.799
"경상남도_밀양시","38",227,"38080","밀양시","경상남도",25,463789.2,40,729072,21234.8,-265282.8
"경상남도_거제시","38",228,"38090","거제시","경상남도",7,300998.21,7,312597,4177.6,-11598.79
"경상남도_양산시","38",229,"38100","양산시","경상남도",64,754776.62,93,1264881.953,18797.65,-510105.333
"경상남도_창원시","38",230,"38111","창원시","경상남도",120,1070903.58,46,1388045,2494950.14,-317141.42
"경상남도_창원시","38",231,"38112","창원시","경상남도",120,1070903.58,46,1388045,2494950.14,-317141.42
"경상남도_창원시","38",232,"38113","창원시","경상남도",120,1070903.58,46,1388045,2494950.14,-317141.42
"경상남도_창원시","38",233,"38114","창원시","경상남도",120,1070903.58,46,1388045,2494950.14,-317141.42
"경상남도_창원시","38",234,"38115","창원시","경상남도",120,1070903.58,46,1388045,2494950.14,-317141.42
"경상남도_의령군","38",235,"38310","의령군","경상남도",2,57196.34,11,98003.3,4239.6,-40806.96
"경상남도_함안군","38",236,"38320","함안군","경상남도",20,1075325.77,50,1594511,26922.36,-519185.23
"경상남도_창녕군","38",237,"38330","창녕군","경상남도",5,249416.12,35,283717.2,8645.6,-34301.08
"경상남도_고성군","38",238,"38340","고성군","경상남도",18,25125,16,344304.3,7466,-319179.3
"경상남도_남해군","38",239,"38350","남해군","경상남도",9,83875.76,5,71143,8121,12732.76
"경상남도_하동군","38",240,"38360","하동군","경상남도",22,587885.2,14,582491,7171.8,5394.19999999995
"경상남도_산청군","38",241,"38370","산청군","경상남도",5,205725.26,3,48576,4010,157149.26
"경상남도_함양군","38",242,"38380","함양군","경상남도",4,145119.25,9,150648,12352,-5528.75
"경상남도_거창군","38",243,"38390","거창군","경상남도",11,135907.32,8,99603.32,4801.9,36304
"경상남도_합천군","38",244,"38400","합천군","경상남도",2,289360.65,12,438530.26234,8608,-149169.61234
"제주특별자치도_제주시","39",245,"39010","제주시","제주특별자치도",38,330548.62,43,850263.06,41510.25,-519714.44
"제주특별자치도_서귀포시","39",246,"39020","서귀포시","제주특별자치도",23,286774.52,26,361857.41299,21673.68,-75082.89299
"강원도_고성군","32",247,"32400","고성군","강원도",7,2106.66,6,179225,12113,-177118.34
"경기도_파주시","31",248,"31200","파주시","경기도",21,1377150.2,55,2080342.386,27463.56,-703192.186
"강원도_철원군","32",249,"32360","철원군","강원도",3,67163.66,10,77704,4234.3,-10540.34
"경기도_연천군","31",250,"31350","연천군","경기도",15,738396.19,20,1036522,28517.8,-298125.81
"강원도_양구군","32",251,"32380","양구군","강원도",1,0,7,327168,12600,-327168
"강원도_화천군","32",252,"32370","화천군","강원도",2,6489,1,53426,4000,-46937
